id,name,category,gender,follower_count,platform
1,Joshua Collins,Lifestyle,Other,888184,Twitter
2,Victoria Brown,Nutrition,Other,136373,YouTube
3,Ashley Howard,Fitness,Male,443452,Instagram
4,Amanda Woods,Lifestyle,Male,120294,Twitter
5,Jerome Wood,Lifestyle,Female,464451,YouTube
6,Christina Marks,Nutrition,Male,976744,Twitter
7,Tara Mckee,Fitness,Other,653307,Instagram
8,Deanna Goodwin PhD,Fitness,Other,70726,Instagram
9,James Robinson,Lifestyle,Male,146564,Instagram
10,Denise Thomas,Health,Other,382812,Twitter
11,Douglas Whitehead,Lifestyle,Other,273246,Twitter
12,Laura Taylor,Lifestyle,Male,710696,Instagram
13,Jordan Jennings,Lifestyle,Male,123015,Twitter
14,Brittany Ferrell,Lifestyle,Other,745674,Instagram
15,Angela Martin,Nutrition,Other,259079,Instagram
16,Edward Rogers,Fitness,Other,555929,YouTube
17,Nathan Stephenson,Nutrition,Female,694944,Twitter
18,Heather Conley,Nutrition,Female,693105,Instagram
19,Oscar Castro,Nutrition,Female,518758,Instagram
20,Jeanne Cherry,Lifestyle,Male,945597,Twitter
21,Jennifer Bailey,Health,Female,988609,YouTube
22,Eric Anderson,Fitness,Male,370890,YouTube
23,Lisa Foley,Health,Male,450101,Instagram
24,Cynthia Washington,Nutrition,Female,41631,Twitter
25,Stacey Bishop,Nutrition,Female,771577,YouTube
26,Amanda Reed,Health,Female,77991,Twitter
27,Cassandra Mooney,Health,Other,9014,Twitter
28,Bernard Brown,Health,Female,278237,Instagram
29,Diane Baldwin,Nutrition,Other,23070,YouTube
30,Angela Yoder,Nutrition,Male,827209,Instagram
31,Aaron Williams,Fitness,Other,61958,YouTube
32,Sarah Washington,Fitness,Female,87074,YouTube
33,Katrina Banks,Nutrition,Male,540017,YouTube
34,Karla Gonzalez,Health,Male,760073,YouTube
35,Kimberly Everett,Health,Male,181089,YouTube
36,Nicholas Martin,Fitness,Other,202392,Twitter
37,Nicholas Miller,Nutrition,Female,163823,Instagram
38,Robert Miller,Fitness,Male,635152,Twitter
39,Amy Peterson,Fitness,Male,398002,YouTube
40,Sherry Thompson,Lifestyle,Male,738429,Instagram
41,Kelly Johnson MD,Lifestyle,Other,503863,YouTube
42,Alexander Martinez,Lifestyle,Other,372654,Instagram
43,Colleen Roberts,Health,Female,584036,Twitter
44,Diane Allen,Nutrition,Other,535089,Instagram
45,Abigail Thomas,Nutrition,Male,155262,Instagram
46,Andrew King,Nutrition,Female,447905,Instagram
47,Dr. Michael Hawkins,Nutrition,Male,240362,Instagram
48,David Parker,Lifestyle,Male,449209,Instagram
49,Nicholas Edwards,Health,Other,558880,YouTube
50,William Foster,Health,Female,802079,Instagram
51,Jeffrey Moreno,Lifestyle,Other,669076,Instagram
52,Angel Pope,Health,Other,224963,Twitter
53,Lindsey Vega,Lifestyle,Female,485761,Instagram
54,Amber Lopez,Nutrition,Male,253710,Twitter
55,Kathryn Thomas,Lifestyle,Male,225984,YouTube
56,Brent Clark,Nutrition,Female,902059,Instagram
57,Christine Bell,Nutrition,Male,861748,Twitter
58,Jay Harrell,Fitness,Female,787355,Twitter
59,Jessica Beard,Lifestyle,Female,269512,YouTube
60,Jamie Lambert,Fitness,Other,606863,Instagram
61,Bradley Andrews,Lifestyle,Female,273799,Instagram
62,Corey Kelly,Lifestyle,Other,242549,Twitter
63,James Castillo MD,Fitness,Male,599319,Instagram
64,Philip Sanchez,Fitness,Male,998933,Twitter
65,Walter Short,Lifestyle,Male,489299,Instagram
66,Adam Griffith,Health,Male,617210,Twitter
67,Brian Ramirez,Nutrition,Other,453982,Instagram
68,Richard Chavez,Fitness,Male,129046,YouTube
69,Christina Jackson,Nutrition,Female,411619,Instagram
70,Christine Rangel,Health,Female,37097,Instagram
71,Mr. William Mcdonald DDS,Health,Female,671326,YouTube
72,Charles Turner,Health,Other,654150,Instagram
73,Jennifer Bradley,Fitness,Male,235229,YouTube
74,William Bush,Health,Male,123834,Instagram
75,David Castillo,Fitness,Male,98848,Twitter
76,Eric Diaz,Health,Other,57921,Twitter
77,Miranda Shea,Nutrition,Female,710086,Instagram
78,James Armstrong,Nutrition,Female,655429,Instagram
79,Michael Potter,Lifestyle,Male,710660,Instagram
80,Michelle Smith,Nutrition,Female,289821,Twitter
81,Melissa Diaz,Lifestyle,Female,60609,Instagram
82,Ashley Chang,Nutrition,Other,232897,Twitter
83,Michelle Brandt,Fitness,Other,979165,YouTube
84,Daniel Ford,Nutrition,Other,36024,Twitter
85,Kevin Smith,Lifestyle,Other,75313,Twitter
86,Bernard Dickerson,Lifestyle,Male,394957,YouTube
87,Vincent Williams,Health,Other,189078,Twitter
88,Deanna Burns,Fitness,Female,362429,Instagram
89,Patrick Anderson,Nutrition,Male,937842,Instagram
90,Derek Hart,Health,Female,466243,Twitter
91,Bobby Clark,Nutrition,Female,118632,Instagram
92,John Middleton,Nutrition,Female,942012,Twitter
93,Ivan Keith Jr.,Health,Other,256451,Instagram
94,Matthew Stafford,Health,Other,8051,Instagram
95,Mr. Charles Walker,Health,Male,709107,Twitter
96,James Ayala,Health,Male,381836,Instagram
97,Elizabeth Kent,Health,Other,616523,Twitter
98,John Mcdaniel,Nutrition,Female,976525,Instagram
99,Kathryn Mitchell,Health,Male,726772,Instagram
100,Anna Maddox,Fitness,Other,194407,YouTube
101,Brian Finley,Lifestyle,Other,454395,YouTube
102,Renee Monroe,Health,Other,954597,Twitter
103,Taylor Lopez,Health,Female,467894,YouTube
104,Megan Blackburn,Nutrition,Other,216810,Twitter
105,Daniel Snyder,Health,Other,962238,YouTube
106,Allison Green,Health,Other,732975,Instagram
107,Brenda Brown,Health,Other,78523,Twitter
108,Stacie Diaz,Nutrition,Male,765463,Twitter
109,Rachel Solis,Health,Male,99476,Instagram
110,Mary Potter,Lifestyle,Other,238841,Twitter
111,Tamara Ball,Nutrition,Female,808451,Twitter
112,Linda Phillips DDS,Lifestyle,Male,875045,YouTube
113,Nicholas Phillips,Nutrition,Other,227866,Twitter
114,Laurie Taylor,Health,Male,91672,Instagram
115,Phillip Fernandez,Lifestyle,Male,603135,YouTube
116,Nicholas Malone,Nutrition,Female,349894,YouTube
117,Mark Rodgers,Fitness,Other,739994,Instagram
118,Megan Ward MD,Health,Other,33251,Instagram
119,Adam Payne,Nutrition,Female,632769,YouTube
120,Stephanie Kennedy,Fitness,Female,379710,Twitter
121,Thomas Martinez,Nutrition,Other,555233,YouTube
122,Theresa Collins,Fitness,Other,882284,Instagram
123,Richard Smith,Health,Female,37217,YouTube
124,Gerald Snyder,Lifestyle,Male,13308,Instagram
125,Courtney Ayers,Fitness,Male,273093,YouTube
126,Melissa Brown,Nutrition,Female,188062,Twitter
127,Dr. Alexis Bass,Health,Male,399366,YouTube
128,Matthew Hobbs,Fitness,Female,749840,YouTube
129,Michael Cook,Nutrition,Male,105235,Instagram
130,Melissa Rogers,Nutrition,Male,79740,Instagram
131,Thomas Bishop,Nutrition,Other,383496,Instagram
132,Michael Santiago,Fitness,Other,858049,YouTube
133,Gary Rodriguez,Fitness,Male,755201,Twitter
134,Richard Gonzalez,Fitness,Male,808328,Instagram
135,Colleen Mathis,Lifestyle,Other,922230,Instagram
136,Kathleen Buckley,Fitness,Other,182247,YouTube
137,Elijah Nunez,Fitness,Other,668165,Instagram
138,John Weber,Fitness,Female,534525,Twitter
139,Matthew Carpenter,Lifestyle,Male,25056,Twitter
140,Kaitlyn Haney,Fitness,Other,181615,Instagram
141,David Ruiz,Nutrition,Male,192628,Instagram
142,Maria Yang,Fitness,Female,643836,YouTube
143,Melissa Barnes,Nutrition,Female,378632,Twitter
144,Linda Williams,Nutrition,Other,139415,Twitter
145,Stanley Mack,Nutrition,Female,411716,Instagram
146,Matthew Burke,Lifestyle,Male,451438,YouTube
147,Sarah Montgomery,Lifestyle,Other,558663,Twitter
148,Tiffany Stone,Lifestyle,Male,670022,Twitter
149,Aaron Harrington,Fitness,Male,546252,YouTube
150,Dawn White,Nutrition,Female,642717,YouTube
151,Alex Cooper,Lifestyle,Female,257764,Twitter
152,Christina Friedman,Lifestyle,Female,719998,Twitter
153,Susan King,Fitness,Female,471882,YouTube
154,Edward Smith,Lifestyle,Female,745427,Twitter
155,Bruce Williamson,Fitness,Other,517153,Instagram
156,Frederick York,Health,Male,72215,Instagram
157,Emily Peterson,Lifestyle,Male,860474,YouTube
158,Jamie Burgess,Health,Male,149356,YouTube
159,Erik Gibson,Fitness,Male,208861,YouTube
160,Deanna Johnson,Nutrition,Female,360612,Instagram
161,Dr. Edward Martinez,Lifestyle,Male,459605,Twitter
162,Katelyn Gentry,Fitness,Other,14435,Instagram
163,Jennifer Brewer,Nutrition,Other,452556,Twitter
